CCAA;PROVINCIAS;MUNICIPIO;TIPO DE DISPOSITIVO;UBICACION;DIRECCION;CODIGO POSTAL;LOCALIDAD;TELEFONO;HORARIO
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Ademuz;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ADEMUZ;AVDA. VALENCIA, Nº 68;46140;ADEMUZ;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Ador;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL ADOR;C/ CERVANTES, Nº 25;46724;ADOR;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alaquàs;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. ALAQUAS;PLAZA MÚSICO FRANCISCO TÁRREGA, S/N;46970;ALAQUÀS;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Albaida;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALBAIDA;AVDA. ROMERAL, Nº 1;46860;ALBAIDA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alberic;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALBERIC;C/ ANTONIO LLORET, Nº 60;46260;ALBERIC;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alcúdia de Crespins, l';PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD L' ALCÚDIA DE CRESPINS;AVDA. CORTS VALENCIANES, S/N;46690;ALCÚDIA DE CRESPINS (L');Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alcúdia, l';PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD L´ ALCUDIA;C/ ESQUINA BOLLONE CON MAGUNCIA, S/N;46250;ALCÚDIA (L');962980225/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Aldaia;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALDAIA;C/ ANTIC REGNE DE VALENCIA, S/N;46960;ALDAIA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alfafar;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALFAFAR;C/ DELS FURS, Nº 23;46910;ALFAFAR;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Algemesí;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALGEMESÍ;CRUCE SANTA TERESA CON POLINYÀ, S/N;46680;ALGEMESÍ;962469225/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alginet;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALGINET;CRUCE DE MAESTRO SERRANO - C/ MAYOR;46230;ALGINET;961719175/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alzira;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. ALZIRA II;C/ HORT DELS FRARES ESQUINA FRANCESC ARBONA, Nº 9;46600;ALZIRA;962469365/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Ayora;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD AYORA;AVDA. ARGENTINA, Nº 36;46620;AYORA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Bellreguard;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD BELLREGUARD;RONDA DELS ESPORTS, S/N;46713;BELLREGUARD;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Benaguasil;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD BENAGUASIL;C/ VIRGEN DEL PILAR, S/N;46180;BENAGUASIL;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Benifaió;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. BENIFAIÓ;CR ALMUSAFES, Nº 11;46450;BENIFAIÓ;961719285/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Benigànim;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD BENIGÁNIM;C/ LEONOR ORTIZ, Nº 9;46830;BENIGÁNIM;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Bétera;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD BÉTERA;AVDA. ESCULTOR RAMÓN INGLÉS, Nº 52;46117;BÉTERA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Bocairent;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD BOCAIRENT;C/ SANTA AGUEDA, S/N;46880;BOCAIRENT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Buñol;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. BUÑOL;AV RAFAEL RIDAURA, Nº 17;46360;BUÑOL;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Canals;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CANALS;C/ ALAMEDA RONDA SUR, S/N;46650;CANALS;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Carcaixent;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CARCAIXENT;C/ BAGNOLS SUR CEZE, S/N;46740;CARCAIXENT;962469250/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Càrcer;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CÀRCER;C/ SEVILLA, S/N;46294;CÀRCER;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Carlet;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. CARLET;CAMÍ SANT BERNAT, S/N;46240;CARLET;962980245/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Castelló;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD VILLANUEVA DE CASTELLÓN;C/ GASPAR VALENTÍN, S/N;46270;VILLANUEVA DE CASTELLÓN;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Castelló de Rugat;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CASTELLÓ DE RUGAT;CTRA. RAFOL, Nº 2;46841;CASTELLÓ DE RUGAT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Catarroja;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CATARROJA;AVDA. RAMBLETA, S/N;46470;CATARROJA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Chella;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CHELLA;C/ PINTOR PALLAS, Nº 25;46821;CHELLA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Chelva;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CHELVA;AVDA. MANCOMUNIDAD ALTO TURIA, S/N;46176;CHELVA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Chera;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL CHERA;C/ ANTONIO SÁNCHEZ PLÁ, Nº 5;46350;CHERA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Cheste;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CHESTE;C/ ESPERANTISTA E. ARNAU, S/N;46380;CHESTE;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Chiva;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD CHIVA;PTDA. DE LA MURTA, S/N;46370;CHIVA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Cofrentes;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD COFRENTES;C/ COLÓN, Nº 16;46625;COFRENTES;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Cortes de Pallás;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL CORTES DE PALLÁS;C/ DOCTOR SÁNCHEZ URZAIZ, Nº 1;46199;CORTES DE PALLÁS;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Cullera;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. CULLERA;AV DIAGONAL DEL PAÍS VALENCIÀ, Nº 4;46400;CULLERA;961719110/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Dos Aguas;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL DOS AGUAS;AV MARQUÉS DE DOS AGUAS, S/N;46198;DOS AGUAS;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Eliana, l';PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD L' ELIANA;C/ ROSALES, Nº 23;46183;ELIANA (L');Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Enguera;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ENGUERA;C/ MANUEL CIGES, Nº 15;46810;ENGUERA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Estivella;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ESTIVELLA;C/ SEGORBE, S/N;46590;ESTIVELLA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Faura;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD FAURA;C/ DR. FLEMING, Nº 8;46511;FAURA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Font de la Figuera, la;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL LA FONT DE LA FIGUERA;C/ HISTORIADOR ROS, Nº 4;46630;FONT DE LA FIGUERA (LA);Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Gandia;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD GANDÍA EL GRAU;C/ LA GOLETA, S/N;46730;GANDIA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Godella;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD GODELLA;C/ SAN SEBASTIÁN, S/N;46110;GODELLA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Llíria;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. LLÍRIA;C/ JOSÉ PÉREZ MARTÍNEZ, S/N;46160;LLÍRIA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Llutxent;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD LLUTXENT;C/ SAN ANTONI, S/N;46838;LLUTXENT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Manises;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD MANISES;C/ DR. PESET ALEIXANDRE, S/N;46940;MANISES;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Massamagrell;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD MASSAMAGRELL;C/ MIGUEL SERVET, Nº 48;46130;MASSAMAGRELL;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Millares;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL MILLARES;AVDA. SAEZ MERINO, Nº 22;46199;MILLARES;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Mislata;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD MISLATA;AVDA. BUENOS AIRES, Nº 2;46920;MISLATA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Mogente/Moixent;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD MOIXENT / MOGENTE;CL RIO CAÑOLES, Nº 2;46640;MOGENTE/MOIXENT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Moncada;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD MONCADA;AVDA. MEDITERRÁNEO, Nº 2;46113;MONCADA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Montserrat;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD MONTSERRAT;C/ VALENCIA, Nº 47;46192;MONTSERRAT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Navarrés;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD NAVARRÉS;C/ LA ALEGRÍA DE LA HUERTA, Nº 55;46823;NAVARRÉS;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Oliva;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. OLIVA;CL DE L'HISTORIADOR BERNARDÍ LLORCA, S/N;46780;OLIVA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Olleria, l';PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD L´OLLERIA;PLAZA VIRGEN DE LORETO, S/N;46850;OLLERIA (L');Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Paiporta;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. PAIPORTA;C/ CATARROJA, ESQ. MAESTRO SERRANO;46200;PAIPORTA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Paterna;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD PATERNA;PLAZA CLOT DE JOAN, S/N;46182;PATERNA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Pedralba;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD PEDRALBA;C/ BUGARRA, S/N;46164;PEDRALBA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Picassent;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD PICASSENT;C/ MAYOR, S/N;46220;PICASSENT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Pobla de Vallbona, la;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD LA POBLA DE VALLBONA;AVDA. CERVANTES, Nº 46;46185;POBLA DE VALLBONA (LA);Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Pobla Llarga, la;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD LA POBLA LLARGA;C/ MONTAÑA, Nº 1;46670;POBLA LLARGA (LA);Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Puçol;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD PUÇOL;C/ MOLÍ, S/N;46530;PUÇOL;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Quart de Poblet;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD QUART DE POBLET;C/ TRAFALGAR, S/N;46930;QUART DE POBLET;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Requena;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD REQUENA;AVDA. CONSTITUCIÓN, Nº 47;46340;REQUENA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Sagunto/Sagunt;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD SAGUNTO/SAGUNT;AVDA. SANTOS PATRONOS, Nº 81-TRAS;46500;SAGUNTO/SAGUNT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Sagunto/Sagunt;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD PUERTO DE SAGUNTO/SAGUNT;C/ PERIODISTA AZZATI, S/N;46520;PUERTO DE SAGUNTO/SAGUNT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Silla;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD SILLA;AV D' AUSIÀS MARCH, S/N;46460;SILLA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Tavernes de la Valldigna;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL TAVERNES DE LA VALLDIGNA PLAYA;C/ SANTA MARÍA, S/N;46760;TAVERNES DE LA VALLDIGNA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Titaguas;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD TITAGUAS;AVDA. ROJAS CLEMENTE, Nº 2;46178;TITAGUAS;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Torrent;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD TORRENT;C/ PINTOR RIBERA, Nº 28;46900;TORRENT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Turís;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD TURÍS;C/ JAUME I, Nº 17;46389;TURÍS;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Utiel;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD UTIEL;PLAZA ESCUELAS PIAS, Nº 1;46300;UTIEL;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;València;PUNTO DE ATENCIÓN SANITARIA (PAS);PAS L'ALGUER;C/ L´ALGUER, Nº 28;46022;VALENCIA;Urgencias 112;Lunes a viernes: de 21h a 9h del día siguiente. Sábados de 17h a 9h del día siguient.Domingos y festivos: 24 horas.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;València;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. JUAN LLORENS;CL JUAN LLORENS, Nº 8;46008;VALENCIA;Urgencias 112;Lunes a viernes: de 21h a 9h del día siguiente. Sábados de 17h a 9h del día siguient.Domingos y festivos: 24 horas.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;València;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD BENIMAMET;C/ INGENIERO AUBÁN, Nº 20;46035;VALENCIA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;València;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD VALENCIA - FUENTE SAN LUIS;C/ ARABISTA AMBROSIO HUICI, Nº 30;46013;VALENCIA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;València;PUNTO DE ATENCIÓN SANITARIA (PAS);PAS CAMPANAR;CL JOAQUIN BALLESTER, S/N;46009;VALENCIA;Urgencias 112;24 horas.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Vilamarxant;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD VILAMARXANT;C/ FONT NOVA, S/N;46191;VILAMARXANT;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Villar del Arzobispo;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD VILLAR DEL ARZOBISPO;PLAZA HUERTO DEL SEÑOR, S/N;46170;VILLAR DEL ARZOBISPO;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Xàtiva;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD XÁTIVA;C/ AUSIAS MARCH, S/N;46800;XÀTIVA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Xirivella;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. XIRIVELLA;C/ VIRGEN DE LOS DESAMPARADOS, S/N;46950;XIRIVELLA;Urgencias 112;De 20h a 8h del día siguiente.
