Municipio;Precio_Mensual_VC;Precio_Mensual_VU;Recuento_VC;Recuento_VU
Ademuz;1,98019801980198;NA;25;4
Ador;NA;3,18610021592833;9;20
Atzeneta d'Albaida;2,82564952761628;2,77177785695199;14;20
Agullent;2,55840822586364;3,22894998219674;28;14
Alaquàs;5,29160874594603;5,77234003888194;1234;49
Albaida;2,91666666666667;2,67394833427442;127;22
Albal;4,77507374631268;4,18994413407821;663;47
Albalat de la Ribera;3,20732647208788;2,61116364051003;38;16
Albalat dels Sorells;4,86111111111111;NA;119;8
Albalat dels Tarongers;NA;4,80289421157685;7;29
Alberic;3,06122448979592;3,65908076751450;194;38
Alborache;3,38844025855951;4,73090277777778;10;43
Alboraya;7,07070707070707;6,38912589089912;1609;83
Albuixech;4,72972972972973;4,11630036630037;147;24
Alcàsser;4,14459930313589;3,47222222222222;364;45
Alcàntera de Xúquer;2,96703296703297;NA;25;5
Alzira;3,96825396825397;3,47619047619048;1279;207
Alcublas;NA;NA;6;5
Alcúdia, l';3,60824742268041;3,25531914893617;336;43
Alcúdia de Crespins, l';3,15533980582524;3,13435157507956;87;16
Aldaia;5,08273920713989;4,13223140495868;1450;65
Alfafar;5,08084768621364;5,04032258064516;926;51
Alfauir;NA;NA;0;8
Alfara de la Baronia;NA;NA;2;9
Alfara del Patriarca;6,78489223686964;8,02083333333333;302;16
Alfarp;3,41503267973856;4,14772727272727;12;11
Alfarrasí;2,71125498753784;NA;12;6
Algar de Palancia;NA;2,86642544676098;2;11
Algemesí;3,52414330218068;3,60838779956427;659;51
Algimia de Alfara;NA;2,46212121212121;6;15
Alginet;3,84310750411668;3,42659679993100;352;134
Almàssera;5,03289473684211;4,40251572327044;303;19
Almiserà;NA;NA;1;3
Almoines;4,14634146341463;3,64628741644871;35;15
Almussafes;3,92061764705882;3,70905483405483;322;34
Alpuente;NA;NA;7;4
Alqueria de la Comtessa, l';NA;NA;8;7
Andilla;NA;NA;1;3
Anna;2,47289972899729;2,55102040816327;31;19
Antella;NA;2,26651763537009;3;13
Aras de los Olmos;NA;NA;1;5
Aielo de Malferit;2,41567460317460;2,40963855421687;30;15
Aielo de Rugat;NA;NA;0;2
Ayora;2,85714285714286;2,28725824426328;96;22
Barxeta;NA;NA;5;9
Barx;NA;2,83589418462992;4;19
Bèlgida;NA;NA;1;8
Bellreguard;3,74322809639454;2,63931888544892;96;28
Bellús;NA;NA;0;1
Benagéber;NA;NA;0;2
Benaguasil;4,21052631578947;3,00324675324675;397;84
Benavites;NA;NA;3;2
Beneixida;NA;NA;2;8
Benetússer;5,12280701754386;4,46808510638298;713;29
Beniarjó;3,87931034482759;3,48995153493318;29;24
Beniatjar;NA;NA;0;2
Benicolet;NA;NA;1;4
Benifairó de les Valls;3,91897353000606;2,52100840336134;66;11
Benifairó de la Valldigna;NA;2,30414746543779;8;11
Benifaió;3,96825396825397;3,84615384615385;361;57
Beniflá;4,18076787035286;NA;10;6
Benigánim;2,78228179143511;2,21214650191769;56;12
Benimodo;3,39622641509434;3,23076923076923;19;13
Benimuslem;NA;3,80952380952381;3;11
Beniparrell;4,76190476190476;NA;68;9
Benirredrà;4,75232964472918;NA;10;8
Benisanó;3,86001386001386;3,72340425531915;80;25
Benissoda;4,34873949579832;NA;10;6
Benisuera;NA;NA;0;2
Bétera;5,33333333333333;6,28910557592263;851;410
Bicorp;NA;NA;2;2
Bocairent;3,64118303571429;2,78956457382509;46;14
Bolbaite;NA;NA;6;5
Bonrepòs i Mirambell;5,61797752808989;NA;169;7
Bufali;NA;NA;0;3
Bugarra;NA;2,66688099134908;1;13
Buñol;3,41172131147541;3,30434782608696;237;35
Burjassot;5,33210784313725;4,81651376146789;2256;69
Calles;NA;3,96825396825397;2;13
Camporrobles;NA;2,52100840336134;6;11
Canals;3,22789115646258;2,77777777777778;269;33
Canet d'En Berenguer;6,94069136692087;4,95957087430597;435;41
Carcaixent;3,80618235186204;2,98836580086580;484;102
Càrcer;2,91666666666667;3,06757059614523;23;13
Carlet;3,53982300884956;2,38095238095238;417;47
Carrícola;NA;NA;0;2
Casas Altas;NA;NA;NA;NA
Casas Bajas;NA;NA;1;1
Casinos;3,72053872053872;2,87356321839080;31;57
Castelló de Rugat;2,37086584912672;2,41935483870968;40;23
Castellonet de la Conquesta;NA;NA;1;1
Castielfabib;NA;NA;0;4
Catadau;3,29443871314150;3,14206920192624;40;22
Catarroja;5,00000000000000;4,22281073446328;1280;78
Caudete de las Fuentes;NA;NA;2;5
Cerdà;NA;3,53320426651081;1;11
Cofrentes;NA;NA;8;8
Corbera;2,80373831775701;2,67482517482517;43;12
Cortes de Pallás;NA;NA;2;2
Cotes;NA;NA;0;5
Quart de les Valls;NA;NA;5;7
Quart de Poblet;5,35609490274983;4,61538461538462;1200;55
Quartell;3,47850177304964;NA;29;3
Quatretonda;NA;1,98243924692897;6;18
Cullera;5,14705882352941;4,45066137566138;953;154
Chelva;3,41836734693878;NA;29;5
Chella;2,64206379956089;2,31002025223235;34;23
Chera;NA;NA;7;5
Cheste;3,84615384615385;3,10344827586207;340;65
Xirivella;5,13588293162814;5,70310346455206;1410;36
Chiva;3,84815420560748;5,40727007991331;391;341
Chulilla;NA;3,44827586206897;9;21
Daimús;6,40500900811557;4,93827160493827;112;43
Domeño;NA;3,47826086956522;0;17
Dos Aguas;NA;NA;4;1
Eliana, l';6,34768009768010;7,29454253611557;554;340
Emperador;5,72289156626506;NA;43;3
Enguera;3,16966057959508;2,68199651264167;73;42
Ènova, l';NA;NA;4;5
Estivella;3,50467289719626;2,44850498338870;17;24
Estubeny;NA;NA;NA;NA
Faura;3,83561643835616;3,86107524970490;109;18
Favara;3,46878437843784;3,42294031014468;52;20
Fontanars dels Alforins;NA;2,31841498355432;5;14
Fortaleny;NA;3,11174242424242;6;10
Foios;5,09563840155945;4,05336974533403;312;34
Font d'En Carròs, la;2,93845040164394;2,88461538461538;70;21
Font de la Figuera, la;2,16513864778137;1,71428571428571;36;19
Fuenterrobles;NA;NA;1;2
Gavarda;NA;2,75229357798165;0;19
Gandia;4,49798387096774;4,18900026022494;3721;197
Genovés;2,71844660194175;3,83412682632261;25;12
Gestalgar;NA;NA;4;6
Gilet;4,23438823171377;4,71666666666667;42;103
Godella;5,28174603174603;7,73405648665425;421;174
Godelleta;3,16455696202532;4,53650680028633;29;82
Granja de la Costera, la;NA;NA;0;5
Guadasequies;NA;NA;0;4
Guadassuar;3,36170675166618;3,23411502290813;68;24
Guardamar de la Safor;5,92506533108704;NA;20;6
Higueruelas;NA;NA;0;1
Jalance;NA;2,71739130434783;5;11
Xeraco;3,72685185185185;3,14606741573034;128;27
Jarafuel;NA;NA;7;6
Xàtiva;3,99838064393218;3,96825396825397;1201;97
Xeresa;3,80139438042867;2,74414371636594;24;31
Llíria;3,89908256880734;4,92866532632230;805;236
Loriguilla;7,12962962962963;3,70689655172414;42;69
Losa del Obispo;NA;2,76620133002433;0;14
Llutxent;2,24770642201835;2,74024024024024;11;14
Llocnou d'En Fenollet;NA;NA;2;8
Llocnou de la Corona;NA;NA;8;4
Llocnou de Sant Jeroni;NA;NA;4;3
Llanera de Ranes;NA;2,58411899184027;7;18
Llaurí;NA;3,08574879227053;8;13
Llombai;3,10272752192982;2,98507462686567;28;31
Llosa de Ranes, la;2,71172933420271;2,31807845567135;42;16
Macastre;2,52100840336134;2,38095238095238;23;19
Manises;5,55555555555556;4,86891385767790;1325;129
Manuel;3,34005947323704;2,46913580246914;36;13
Marines;NA;4,02542372881356;3;39
Massalavés;3,21100917431193;NA;47;4
Massalfassar;4,97101449275362;3,58336257741987;117;18
Massamagrell;4,91042601931001;5,04587155963303;576;117
Massanassa;4,98127340823970;4,49169880066170;450;44
Meliana;5,11574074074074;3,58779110531558;495;30
Millares;NA;NA;3;3
Miramar;4,64597902097902;4,50255102040816;98;42
Mislata;5,74675324675325;6,81216931216931;2419;43
Mogente/Moixent;2,76503567787971;3,13450520205430;70;14
Moncada;5,88235294117647;6,18644067796610;940;99
Montserrat;3,98436417704578;4,70779220779221;286;149
Montaverner;2,85714285714286;2,27946916471507;13;19
Montesa;NA;NA;4;3
Montitxelvo/Montichelvo;NA;NA;2;3
Montroy;3,43851132686084;4,69897480568212;51;54
Museros;5,34764705882353;4,90740740740741;371;33
Náquera;5,13636363636364;5,18388591939089;369;162
Navarrés;2,33644859813084;1,92982456140351;51;57
Novelé/Novetlè;NA;NA;8;2
Oliva;3,68421052631579;4,22806067172264;763;152
Olocau;NA;5,05952380952381;6;63
Olleria, l';2,89861837191934;3,04166666666667;122;19
Ontinyent;3,55140186915888;3,29356017355561;1127;60
Otos;NA;NA;0;1
Paiporta;5,33558558558559;4,07208689618962;1250;53
Palma de Gandía;NA;3,87373915083275;3;18
Palmera;3,08510638297872;3,55555555555556;18;26
Palomar, el;NA;NA;6;3
Paterna;5,79034202677835;7,23618090452261;3043;509
Pedralba;3,33126460280374;3,66666666666667;23;45
Petrés;3,53311673506612;3,29463364293086;26;12
Picanya;5,05882352941176;5,51622823042260;429;96
Picassent;4,58715596330275;5,17363600808291;847;124
Piles;3,93258426966292;3,46153846153846;87;41
Pinet;NA;NA;0;2
Polinyà de Xúquer;3,29670329670330;3,19148936170213;37;23
Potríes;3,29670329670330;NA;15;5
Pobla de Farnals, la;6,11702127659574;5,90116279069767;539;51
Pobla del Duc, la;2,98165137614679;1,76742606814638;23;12
Puebla de San Miguel;NA;NA;0;1
Pobla de Vallbona, la;4,93206468633965;5,82364341085271;726;359
Pobla Llarga, la;3,08738132139295;2,70884220810943;60;28
Puig;5,48697916666667;5,01858736059480;379;69
Puçol;5,33898305084746;6,19812032654181;797;174
Quesa;1,56259537325276;NA;14;9
Rafelbuñol/Rafelbunyol;5,63218390804598;4,28264166970028;477;42
Rafelcofer;3,85076183180116;NA;10;8
Rafelguaraf;NA;2,89105665598755;9;14
Ráfol de Salem;NA;NA;2;5
Real de Gandía;3,80693581780538;3,34577114427861;46;26
Real;3,84615384615385;3,17736725217040;45;34
Requena;3,57142857142857;2,72876794258373;622;157
Riba-roja de Túria;4,66666666666667;5,73643410852713;615;255
Riola;3,01958261863922;2,50000000000000;10;15
Rocafort;6,15154564834140;7,33422773190588;350;132
Rotglà i Corberà;NA;2,97619047619048;2;11
Rótova;3,36561491200666;NA;12;9
Rugat;NA;NA;0;2
Sagunto/Sagunt;4,87117963378939;5,48780487804878;2376;271
Salem;NA;NA;2;6
Sant Joanet;NA;2,82170215756554;1;13
Sedaví;5,39325842696629;4,26623376623377;417;29
Segart;NA;NA;0;2
Sellent;NA;NA;2;3
Sempere;NA;NA;1;0
Senyera;NA;3,28947368421053;1;11
Serra;3,92857142857143;4,98333333333333;73;81
Siete Aguas;3,47222222222222;2,95698924731183;33;23
Silla;4,72972972972973;3,46788045345242;773;32
Simat de la Valldigna;3,07692307692308;2,77777777777778;53;23
Sinarcas;2,53340274162762;NA;11;5
Sollana;3,73831775700935;3,06936224489796;143;32
Sot de Chera;NA;NA;7;5
Sueca;3,88151026776792;3,82783882783883;776;122
Sumacàrcer;NA;NA;0;7
Tavernes Blanques;4,76190476190476;4,93563685636856;346;21
Tavernes de la Valldigna;3,13990825688073;2,84972677595628;381;79
Teresa de Cofrentes;NA;NA;0;4
Terrateig;NA;NA;0;6
Titaguas;NA;NA;4;5
Torrebaja;NA;NA;8;5
Torrella;NA;NA;0;1
Torrent;5,45454545454545;6,21895500445514;3784;366
Torres Torres;NA;3,90690571460001;5;16
Tous;NA;2,61904761904762;3;19
Tuéjar;3,21782178217822;NA;21;0
Turís;3,74241452991453;3,51147925329559;147;86
Utiel;3,63013698630137;2,63351917926268;265;46
Valencia;6,96861645299145;6,17209447821682;60244;786
Vallada;2,34890109890110;2,44565217391304;34;15
Vallanca;NA;NA;1;0
Vallés;NA;NA;0;1
Venta del Moro;NA;2,72184943595074;4;12
Villalonga;3,41060152874709;3,06517909571345;90;44
Vilamarxant;4,55638517393552;4,77401811994113;386;80
Villanueva de Castellón;3,01204819277108;2,77777777777778;81;43
Villar del Arzobispo;3,10595471065138;3,29111064776202;46;48
Villargordo del Cabriel;NA;NA;1;4
Vinalesa;5,19661432452130;5,45714727722772;118;14
Yátova;3,00910686855387;3,45469255663430;20;15
Yesa, La;NA;NA;1;2
Zarra;NA;NA;1;0
Gátova;NA;NA;2;3
San Antonio de Benagéber;5,16069373664310;6,49873737373737;40;220
Benicull de Xúquer;4,73684210526316;NA;13;6
