nombre_centro;municipio;lat;lon
RINCÓN DE ADEMUZ;Ademuz;NA;NA
Instituto de Educación Secundaria;Ademuz;40.0604631;-1.2849496
LA MURTERA;Ador;NA;NA
SANT VICENT FERRER;Agullent;NA;NA
SANT JOSEP DE CALASSANÇ;Aielo de Malferit;NA;NA
PORÇONS;Aielo de Malferit;NA;NA
MADRE JOSEFA CAMPOS;Alaquàs;NA;NA
MARE DE DÉU DE L'OLIVAR I;Alaquàs;NA;NA
MARE DE DÉU DE L'OLIVAR II;Alaquàs;39.4558519;-0.4593393
AMPARO ALABAU;Alaquàs;NA;NA
BONAVISTA;Alaquàs;NA;NA
CIUTAT DE CREMONA;Alaquàs;39.4514451;-0.4714461
MAESTRO SANCHIS ALMIÑANO;Alaquàs;39.4523224;-0.4601716
VILA D'ALAQUÀS;Alaquàs;39.4571756;-0.4621716
CLARA CAMPOAMOR;Alaquàs;NA;NA
DOCTOR FAUSTÍ BARBERÁ;Alaquàs;NA;NA
COVALTA;Albaida;NA;NA
ELÍAS TORMO;Albaida;NA;NA
JOSEP SEGRELLES;Albaida;38.8353867;-0.5238817
SANTA ANA Y SAN JOSÉ DE LA MONTAÑA;Albal;NA;NA
JUAN ESTEVE MUÑOZ;Albal;39.3941798;-0.4150244
LA BALAGUERA;Albal;39.3927128;-0.4096695
SAN BLAS;Albal;39.395698;-0.4058339
SAN CARLOS BORROMEO;Albal;NA;NA
Instituto de Educación Secundaria;Albal;NA;NA
AUSIÀS MARCH;Albalat de la Ribera;NA;NA
SUCRO;Albalat de la Ribera;NA;NA
EL CASTELL;Albalat Dels Sorells;NA;NA
TIRANT LO BLANC;Albalat Dels Tarongers;NA;NA
LA MILAGROSA;Alberic;39.1173883;-0.5178061
EL CONVENT;Alberic;NA;NA
RAFAEL COMENGE;Alberic;NA;NA
CONSUELO ARANDA;Alberic;NA;NA
ALBORACHE-MACASTRE;Alborache;NA;NA
PARROQUIAL DON JOSÉ LLUCH;Alboraia/Alboraya;NA;NA
SANTA MARÍA-MARIANISTAS;Alboraia/Alboraya;39.4949522;-0.3514455
AUSIÀS MARCH;Alboraia/Alboraya;39.4987815;-0.354152
CERVANTES;Alboraia/Alboraya;NA;NA
LA PATACONA;Alboraia/Alboraya;39.490744;-0.3287141
LA PATACONA;Alboraia/Alboraya;NA;NA
TOMÁS ALBERT;Albuixech;NA;NA
CERVANTES;Alcàntera de Xúquer;NA;NA
SANTÍSIMO CRISTO DE LA FE;Alcàsser;NA;NA
JAUME I;Alcàsser;NA;NA
9 D'OCTUBRE;Alcàsser;NA;NA
Instituto de Educación Secundaria;Alcàsser;39.3689586;-0.4402039
EL PINAR;Alcublas;39.7955664;-0.7012343
MARIANO SERRA;Aldaia;NA;NA
AUSIÀS MARCH;Aldaia;39.4679164;-0.4666392
EL RAJOLAR;Aldaia;39.4752987;-0.4615719
JUAN ANTONIO MARTÍNEZ TORRES;Aldaia;39.4583986;-0.4701606
MARIANO BENLLIURE;Aldaia;39.4615093;-0.4678766
NUESTRA SEÑORA DEL CARMEN;Aldaia;39.4750006;-0.4657578
PLATERO Y YO;Aldaia;NA;NA
VICENTE BLASCO IBÁÑEZ;Aldaia;39.4722736;-0.4601934
BEATRIU CIVERA;Aldaia;NA;NA
CARLES SALVADOR;Aldaia;NA;NA
SALVADOR GADEA;Aldaia;NA;NA
GUÍA, SL;Alfafar;39.4212372;-0.3858274
MARÍA INMACULADA;Alfafar;39.4235096;-0.3906254
LA FILA;Alfafar;39.4181212;-0.3883381
ORBA;Alfafar;39.4173168;-0.4003067
25 D'ABRIL;Alfafar;NA;NA
BARONIA ALTA;Alfara de la Baronia;NA;NA
RAMÓN Y CAJAL;Alfara del Patriarca;NA;NA
DOCTORA ANNA LLUCH;Alfara del Patriarca;NA;NA
SANT JAUME APÒSTOL;Alfarp;NA;NA
DOCTOR BORRÀS;Alfarrasí;NA;NA
MARÍA AUXILIADORA;Algemesí;39.1937735;-0.4387311
MARISTAS NUESTRA SEÑORA DE LA SALUD;Algemesí;NA;NA
SAN JOSÉ DE CALASANZ;Algemesí;NA;NA
SANTA ANA;Algemesí;39.1939684;-0.429653
BLASCO IBÁÑEZ;Algemesí;39.1950955;-0.4387442
CARME MIQUEL;Algemesí;NA;NA
CERVANTES;Algemesí;NA;NA
RIBALTA;Algemesí;NA;NA
BERNAT GUINOVART;Algemesí;NA;NA
SANT VICENT FERRER;Algemesí;NA;NA
PALANCIA;Algimia de Alfara;NA;NA
SAGRADO CORAZÓN DE JESÚS;Alginet;39.259947;-0.4686557
MAESTRO EMILIO LUNA;Alginet;39.2588825;-0.4695869
PEPITA GREUS;Alginet;39.2617587;-0.4748247
VICENTE BLASCO IBÁÑEZ;Alginet;NA;NA
HORT DE FELIU;Alginet;NA;NA
PALMA ALMÀSSERA;Almàssera;39.5142908;-0.3545207
CARRAIXET;Almàssera;39.5127786;-0.3584037
EL CASTELL;Almoines;NA;NA
ALMASSAF;Almussafes;NA;NA
EL PONTET;Almussafes;NA;NA
ALMUSSAFES;Almussafes;39.3081802;-0.4158598
LA PURÍSIMA;Alzira;39.1535862;-0.4398909
SAGRADA FAMILIA;Alzira;39.1582484;-0.4295846
XÚQUER CENTRE EDUCATIU;Alzira;NA;NA
SANTOS PATRONOS;Alzira;39.1500203;-0.4352184
ALBORXÍ;Alzira;39.151395;-0.4439249
AUSIÀS MARCH;Alzira;NA;NA
GARCÍA LORCA;Alzira;NA;NA
GLORIA FUERTES;Alzira;NA;NA
LLUÍS VIVES;Alzira;NA;NA
PINTOR TEODORO ANDREU;Alzira;39.1544721;-0.425312
TIRANT LO BLANC;Alzira;NA;NA
VALL DE LA CASELLA;Alzira;NA;NA
VICENTE BLASCO IBÁÑEZ;Alzira;NA;NA
JOSÉ MARÍA PARRA;Alzira;NA;NA
LA MURTA;Alzira;NA;NA
REI EN JAUME;Alzira;NA;NA
MAESTRO D. JAIME APARICIO PÉREZ;Anna;39.0211834;-0.6456354
XARQUIA;Antella;39.0810318;-0.5910615
EL SABINAR;Aras de los Olmos;NA;NA
VERGE DELS DESEMPARATS;Atzeneta d'Albaida;NA;NA
ISIDRO GIRANT;Ayora;NA;NA
FERNANDO III;Ayora;NA;NA
SANTA MARÍA DE AGUAS VIVAS;Barraca d'Aigues Vives;NA;NA
CARLES SALVADOR;Barxeta;NA;NA
MARIANO JORNET PERALES;Bèlgida;NA;NA
GREGORI MAYANS I CISCAR;Bellreguard Poble;NA;NA
JOAN FUSTER;Bellreguard Poble;NA;NA
ASUNCIÓN DE NUESTRA SEÑORA;Benaguasil;39.5951983;-0.5937276
LUIS VIVES;Benaguasil;NA;NA
Instituto de Educación Secundaria;Benaguasil;39.6002075;-0.5883723
LA VALL FARTA;Beneixida;NA;NA
NUESTRA SEÑORA DEL SOCORRO;Benetússer;NA;NA
BLASCO IBÁÑEZ;Benetússer;NA;NA
CRISTOBAL COLÓN;Benetússer;NA;NA
VICENT RICARD BONILLO;Benetússer;NA;NA
MARÍA CARBONELL I SÁNCHEZ;Benetússer;NA;NA
SANT MARC;Beniarjó;NA;NA
EUGENIO MARTÍ SANCHIS;Benicull de Xúquer;NA;NA
CRISTO REY;Benifaió;39.2865525;-0.4286611
SANTA BÁRBARA;Benifaió;39.2873501;-0.4249073
TRULLÁS;Benifaió;NA;NA
ENRIC SOLER I GODES;Benifaió;NA;NA
JAUME II EL JUST;Benifairó de la Valldigna;NA;NA
L'ERMITA;Benifairó de les Valls;NA;NA
LA VALL DE SEGÓ;Benifairó de les Valls;NA;NA
MANUEL GONZÁLEZ MARTÍ;Benifaraig;NA;NA
BEATA INÉS;Benigànim;NA;NA
LES FOIES;Benigànim;NA;NA
EL AVE MARÍA;Benimàmet-Beniferri;NA;NA
BENIMÀMET;Benimàmet-Beniferri;NA;NA
CAMI DE L'HORTA;Benimàmet-Beniferri;NA;NA
BENIMÀMET;Benimàmet-Beniferri;NA;NA
JOSEP GIL I HERVÁS;Benimodo;NA;NA
BLASCO IBÁÑEZ;Beniparrell;NA;NA
ESCLAVAS SAGRADO CORAZÓN DE JESÚS;Benirredrà;NA;NA
VERGE DEL FONAMENT;Benissanó;NA;NA
SANT ANTONI ABAT;Benissoda;38.8308404;-0.5292212
MARQUÉS DE DOS AGUAS;Bétera;NA;NA
NUESTRA SEÑORA DEL CARMEN;Bétera;39.5891372;-0.4635639
CAMP DE TÚRIA;Bétera;39.5874248;-0.4607351
LLOMA DEL MAS;Bétera;39.5834932;-0.4723989
LES ALFÀBEGUES;Bétera;39.596162;-0.4628717
LOS PINOS;Bicorp;39.1306139;-0.7880202
LLUÍS VIVES;Bocairent;NA;NA
Instituto de Educación Secundaria;Bocairent;NA;NA
ALBAIT;Bolbaite;39.0613468;-0.6726331
MARE DE DÉU DEL PILAR;Bonrepòs i Mirambell;NA;NA
MÓNICA PONT;Bufali;NA;NA
BAJO TURIA;Bugarra;39.6104223;-0.7731846
SAGRADA FAMILIA-ATALAYA;Buñol;NA;NA
CERVANTES;Buñol;NA;NA
SAN LUIS;Buñol;NA;NA
LA HOYA DE BUÑOL;Buñol;39.4264205;-0.7845279
JUAN XXIII;Burjassot;39.5132383;-0.413773
LA FONTAINE;Burjassot;39.5132791;-0.4161732
NATIVIDAD DE NUESTRA SEÑORA;Burjassot;39.5038692;-0.4157782
SAN MIGUEL ARCÁNGEL;Burjassot;39.5053213;-0.4067441
EL POUET-NUESTRA SEÑORA DE LOS DESAMPARADOS;Burjassot;NA;NA
FERNANDO DE LOS RÍOS;Burjassot;NA;NA
LES SITGES;Burjassot;NA;NA
MIGUEL BORDONAU;Burjassot;39.5078028;-0.4142619
SAN JUAN DE RIBERA;Burjassot;39.5081531;-0.4081877
COMARCAL;Burjassot;NA;NA
FEDERICA MONTSENY;Burjassot;39.51209;-0.4191863
VICENT ANDRÉS ESTELLÉS;Burjassot;NA;NA
EL TEJO;Campo Arcis;NA;NA
MAESTRO AGUILAR;Camporrobles;NA;NA
CERVANTES;Canals;NA;NA
SANT ANTONI ABAT;Canals;NA;NA
JOSÉ MOLLA;Canals;NA;NA
PAPA CALIXTO III;Canals;NA;NA
VICENTE RIUS GUILLEMES;Canals;NA;NA
FRANCESC GIL;Canals;NA;NA
SIVERA FONT;Canals;38.9683589;-0.5816179
CAMARENA CANET;Canet d'en Berenguer;NA;NA
LA MURALLA;Canet d'en Berenguer;39.6791197;-0.221477
LES PALMERES;Canet d'en Berenguer;39.6772433;-0.2207793
NÚMERO 1;Canet d'en Berenguer;39.6772897;-0.2153446
AVE MARÍA;Carcaixent;NA;NA
MARÍA INMACULADA;Carcaixent;NA;NA
FRANCESC PONS BOIGUES;Carcaixent;NA;NA
JOSÉ BOQUERA OLIVER;Carcaixent;NA;NA
NAVARRO DARÁS;Carcaixent;NA;NA
VÍCTOR OROVAL TOMÁS;Carcaixent;NA;NA
ARABISTA RIBERA;Carcaixent;NA;NA
PARE GUMILLA;Càrcer;NA;NA
Instituto de Educación Secundaria;Càrcer;NA;NA
LA DEVESA;Carlet;NA;NA
BOSCH MARÍN;Carlet;NA;NA
JUAN VICENTE MORA;Carlet;39.2276162;-0.5239527
SANT BERNAT;Carlet;NA;NA
EDUARDO PRIMO MARQUÉS;Carlet;NA;NA
9 D'OCTUBRE;Carlet;NA;NA
VIRGEN DEL PILAR;Carrascalet;NA;NA
LA PAU;Casinos;NA;NA
CASTELLAR-OLIVERAL;Castellar-Oliveral;NA;NA
EL RAVATXOL;Castellar-Oliveral;NA;NA
VERGE DEL REMEI;Castelló de Rugat;NA;NA
MANUEL SANCHIS GUARNER;Castelló de Rugat;NA;NA
MIGUEL DE CERVANTES;Catadau;NA;NA
MESTRE RAMÓN ESTEVE;Catadau;NA;NA
LARRODÉ;Catarroja;39.4104628;-0.4040592
SAN ANTONIO DE PADUA;Catarroja;NA;NA
SAN ANTONIO DE PADUA II;Catarroja;NA;NA
FLORIDA, CENTRE D'ENSENYAMENT SECUNDARI;Catarroja;39.4028308;-0.4067811
BERTOMEU LLORENS I ROYO;Catarroja;NA;NA
JAUME I EL CONQUERIDOR;Catarroja;NA;NA
JOAN XXIII;Catarroja;NA;NA
PALUZIÉ;Catarroja;39.402288;-0.4077491
VIL·LA ROMANA;Catarroja;39.4106094;-0.4060045
BERENGUER DALMAU;Catarroja;39.4091215;-0.4033799
OLEANA;Caudete de las Fuentes;NA;NA
JUAN LACOMBA GUILLOT;Chella;39.0430511;-0.6608336
VIRGEN DEL REMEDIO;Chelva;NA;NA
ALTO TURIA;Chelva;NA;NA
SAN JOSÉ DE LA MONTAÑA;Cheste;NA;NA
ANA LLUCH;Cheste;NA;NA
FRANCISCO GINER DE LOS RÍOS;Cheste;NA;NA
VICENTE BLASCO IBÁÑEZ;Cheste;39.496896;-0.6829642
JOSÉ MARTÍNEZ TORAL;Cheste;NA;NA
RICARDO MARÍN IBÁNEZ;Cheste;39.4978677;-0.6861956
COLEGIO DE LEVANTE;Chiva;NA;NA
DOCTOR CORACHÁN;Chiva;NA;NA
FRANCISCO MARTÍNEZ CULLA;Chiva;39.4748472;-0.7223591
LA MURTA;Chiva;39.469876;-0.711128
MARJANA;Chiva;NA;NA
COFRENTES;Cofrentes;NA;NA
EL CASTELL;Corbera;NA;NA
INMACULADA CONCEPCIÓN;Cullera;39.165692;-0.2560431
LA MILAGROSA;Cullera;39.1655498;-0.2576163
SAN VICENTE FERRER;Cullera;39.1630595;-0.2567214
DOCTOR ALEMANY;Cullera;NA;NA
L'ESCOLAICA;Cullera;NA;NA
SAN AGUSTÍN;Cullera;39.1687679;-0.2597089
SANT ANTONI DE LA MAR;Cullera;NA;NA
BLASCO IBÁÑEZ;Cullera;NA;NA
JOAN LLOPIS MARÍ;Cullera;NA;NA
MESTRE RAFAEL NOGUERA;Daimús;NA;NA
ALTO JUCAR;Dos Aguas;NA;NA
MARÍA INMACULADA;El Puerto;39.6614798;-0.2225385
SAN PEDRO APÓSTOL;El Puerto;39.6604857;-0.2262403
BALADRE;El Puerto;NA;NA
CERVANTES;El Puerto;NA;NA
LA PINAETA;El Puerto;NA;NA
MAESTRO TARAZONA;El Puerto;39.668983;-0.2351654
MARÍA YOCASTA RUÍZ AGUILERA;El Puerto;NA;NA
MEDITERRÁNEO;El Puerto;39.6614707;-0.2208258
NUESTRA SEÑORA DE BEGOÑA;El Puerto;39.6595307;-0.2183814
PROFESOR TIERNO GALVÁN;El Puerto;NA;NA
VICTORIA Y JOAQUÍN RODRIGO;El Puerto;39.665417;-0.2360278
VILAMAR;El Puerto;39.6685118;-0.2225145
CAMP DE MORVEDRE;El Puerto;NA;NA
MARÍA MOLINER;El Puerto;39.6640056;-0.2231018
NÚMERO 5;El Puerto;39.6668682;-0.2228081
SANTA MARÍA DEL PUIG;El Puig de Santa Maria;39.5875798;-0.3039015
GUILLEM D'ENTENÇA;El Puig de Santa Maria;39.591735;-0.3075096
PARE JOFRÉ;El Puig de Santa Maria;NA;NA
Instituto de Educación Secundaria;El Puig de Santa Maria;39.5926377;-0.3076989
LAS COLINAS;El Real de Gandia;NA;NA
BEATO CARMELO;El Real de Gandia;NA;NA
NUESTRA SEÑORA DEL AMPARO;El Real de Gandia;NA;NA
LLUÍS DE SANTÀNGEL;El Saler;NA;NA
EL SALER;El Saler;NA;NA
EDUARDO LÓPEZ PALOP;Enguera;38.9755776;-0.6879822
Instituto de Educación Secundaria;Enguera;NA;NA
MARENY DE BARRAQUETES;Entitat Local de Mareny de Barraquetes;NA;NA
EL PERELLÓ;Entitat Local Perelló;NA;NA
EL BRAÇAL;Estivella;39.7166254;-0.3474792
SAN VICENTE FERRER;Faura;NA;NA
FÉLIX OLMOS;Favara;39.1266215;-0.2930617
MARE DE DÉU DEL PATROCINI;Foios;NA;NA
REI EN JAUME;Foios;NA;NA
ESCULTOR EN FRANCESC BADIA;Foios;NA;NA
COMTE DE SALVATIERRA DE ALAVA;Fontanars Dels Alforins;NA;NA
SAN ANTONIO ABAD;Fortaleny;NA;NA
ENTREVIÑAS;Fuenterrobles;39.5859475;-1.3626013
ABAD SOLA;Gandia;NA;NA
ABECÉ;Gandia;38.9682034;-0.1776116
BORJA;Gandia;NA;NA
ESCOLÀPIES GANDIA;Gandia;NA;NA
GREGORI MAYANS I CISCAR;Gandia;38.9679796;-0.17604
LOS NARANJOS;Gandia;NA;NA
NUESTRA SEÑORA DEL CARMEN;Gandia;NA;NA
REIAL COL·LEGI DE L'ESCOLA PIA DE GANDIA;Gandia;NA;NA
BENIPEIXCAR;Gandia;38.9613339;-0.1893037
BOTÀNIC CAVANILLES;Gandia;NA;NA
CERVANTES;Gandia;NA;NA
JOAN MARTORELL;Gandia;NA;NA
MONTDÚVER;Gandia;NA;NA
ROÍS DE CORELLA;Gandia;38.9651492;-0.1884708
SAN FRANCISCO DE BORJA;Gandia;NA;NA
AUSIÀS MARCH;Gandia;NA;NA
MARIA ENRÍQUEZ;Gandia;NA;NA
TIRANT LO BLANC;Gandia;NA;NA
ESCOLES DEL XÚQUER;Gavarda;NA;NA
MARE DE DÉU DELS DESEMPARATS;Genovés;NA;NA
SERRA CALDERONA;Gilet;39.6739754;-0.3229763
EDELWEISS;Godella;NA;NA
GENÇANA;Godella;NA;NA
INSTITUCIÓN CULTURAL DOMUS;Godella;39.5238866;-0.4149766
LUIS AMIGÓ;Godella;NA;NA
SAGRADO CORAZÓN;Godella;NA;NA
CERVANTES;Godella;39.521228;-0.4191218
EL BARRANQUET;Godella;NA;NA
ENRIQUE TIERNO GALVÁN;Godelleta;39.42378;-0.6876534
MARÍA DE LOS ÁNGELES SUÁREZ DE CALDERÓN;Grau i Platja;NA;NA
JOAN XXIII;Grau i Platja;NA;NA
LES FOIES;Grau i Platja;NA;NA
VELES E VENTS;Grau i Platja;NA;NA
RIU D'ALBAIDA;Guadasséquies;NA;NA
SANT FRANCESC;Guadassuar;NA;NA
BALMES;Guadassuar;39.1894908;-0.4806765
DIDÍN PUIG;Guadassuar;NA;NA
FORN D'ALCEDO;Horno de Alcedo;NA;NA
VALLE DE AYORA-COFRENTES;Jarafuel;39.1399367;-1.0739096
ESCUELA 2;La Cañada;39.5271104;-0.4954648
PALMA;La Cañada;NA;NA
SANTO TOMÁS DE AQUINO;La Cañada;NA;NA
EL PARQUE;La Cañada;NA;NA
LA FONT;La Cañada;38.8912001;-6.985752
LA CANYADA;La Cañada;38.8912001;-6.985752
MARE DE DÉU DELS XICS;La Font de la Figuera;NA;NA
FRANCESC CARRÒS;La Font d'en Carròs;NA;NA
CRISTO DEL MILAGRO;La Llosa de Ranes;NA;NA
CERVANTES;La Pobla de Farnals;39.579502;-0.3269612
GUILLEM D'ALCALÀ;La Pobla de Farnals;39.579502;-0.3269612
SAN JOSÉ;La Pobla de Vallbona;NA;NA
SAN RAFAEL;La Pobla de Vallbona;39.5953342;-0.5536294
COLOR DE MONTE COLORADO;La Pobla de Vallbona;NA;NA
EL CAMPÉS;La Pobla de Vallbona;NA;NA
LLUÍS VIVES;La Pobla de Vallbona;NA;NA
MAS DE TOUS;La Pobla de Vallbona;39.5858471;-0.5398524
LA VEREDA;La Pobla de Vallbona;39.5863967;-0.5401487
RAMÓN ESTEVE;La Pobla del Duc;NA;NA
SANTA ANA;La Pobla Llarga;NA;NA
DOCTOR SANCHIS GUARNER;La Pobla Llarga;NA;NA
PERE D'ESPLUGUES;La Pobla Llarga;NA;NA
SAN ANDRÉS APÓSTOL;L'Alcúdia;NA;NA
BATALLAR;L'Alcúdia;NA;NA
HERETATS;L'Alcúdia;NA;NA
LES COMES;L'Alcúdia;NA;NA
ELS ÉVOLS;L'Alcúdia;NA;NA
LA SÈNIA;L'Alcúdia de Crespins;NA;NA
ISABEL-CLARA SIMÓ;L'Alcúdia de Crespins;NA;NA
SANT PERE APÒSTOL;L'Alqueria de la Comtessa;NA;NA
HELIOS;L'Eliana;NA;NA
IALE;L'Eliana;39.5656613;-0.5439432
NOVASCHOOL L'ELIANA;L'Eliana;NA;NA
EL GARBÍ;L'Eliana;NA;NA
L'OLIVERA;L'Eliana;NA;NA
MONTE ALEGRE;L'Eliana;NA;NA
VIRGEN DEL CARMEN;L'Eliana;NA;NA
L'ELIANA;L'Eliana;NA;NA
LES ERES;L'Ènova;NA;NA
LA COSTERETA;Llanera de Ranes;NA;NA
SANT BLAI;Llaurí;NA;NA
FASTA EL PRAT;Llíria;NA;NA
FRANCISCO LLOPIS LATORRE;Llíria;39.6380229;-0.5769777
SANTA ANA;Llíria;39.6306523;-0.5990735
SANT MIQUEL;Llíria;39.6306683;-0.6007238
SANT VICENT FERRER;Llíria;39.6380229;-0.5769777
CAMP DE TÚRIA;Llíria;NA;NA
LAURONA;Llíria;NA;NA
RIU VERNISSA;Llocnou de Sant Jeroni;NA;NA
SANCHIS GUARNER;Llocnou d'en Fenollet;NA;NA
LLOMA LLARGA;Lloma Llarga;NA;NA
ESCUELA FAMILIAR AGRARIA TORRE-ALEDUA;Llombai;NA;NA
LA MALVESIA;Llombai;NA;NA
SANT FRANCESC DE BORJA;Llombai;39.2816063;-0.5733288
AUSIÀS MARCH;Llutxent;NA;NA
ISABEL LA CATÓLICA;L'Olleria;NA;NA
MANUEL SANCHIS GUARNER;L'Olleria;NA;NA
VERMELLAR;L'Olleria;NA;NA
W.A. MOZART;Loriguilla;NA;NA
LA SERRANÍA;Losa del Obispo;NA;NA
EL CARMEN;Manises;39.4965986;-0.4653278
SAGRADA FAMILIA;Manises;39.494634;-0.4566958
BENJAMÍN BENLLOCH;Manises;39.494634;-0.4566958
ENRIC VALOR I VIVES;Manises;NA;NA
FÉLIX RODRÍGUEZ DE LA FUENTE;Manises;39.494634;-0.4566958
JOAN FUSTER;Manises;39.4902426;-0.4609453
JOSÉ GARCÍA PLANELLS;Manises;39.4979518;-0.467943
VICENTE NICOLAU BALAGUER;Manises;NA;NA
AUSIÀS MARCH;Manises;NA;NA
JOSÉ RODRIGO BOTET;Manises;39.494779;-0.4708199
PERE BOÏL;Manises;NA;NA
PINTOR ESTRUCH;Manuel;NA;NA
CASTILLO DEL REAL;Marines;39.7392122;-0.5306366
JOSÉ SENENT;Masarrochos;NA;NA
BLASCO IBÁÑEZ;Massalavés;NA;NA
SANT LLORENÇ MÀRTIR;Massalfassar;NA;NA
SAGRADA FAMILIA;Massamagrell;NA;NA
OBISPO AMIGÓ;Massamagrell;NA;NA
SAN JUAN EVANGELISTA;Massamagrell;NA;NA
VIRGEN DEL ROSARIO;Massamagrell;39.5717201;-0.3377429
Instituto de Educación Secundaria;Massamagrell;39.5746931;-0.3393294
SAN JOSÉ, SAN ANDRÉS Y SAN BENITO;Massanassa;NA;NA
NÚMERO 2;Massanassa;39.4141585;-0.4012466
LLUÍS VIVES;Massanassa;39.4141585;-0.4012466
Instituto de Educación Secundaria;Massanassa;NA;NA
SAGRADO CORAZÓN;Meliana;NA;NA
EL CRIST;Meliana;39.5281513;-0.3416188
MEDITERRANI;Meliana;NA;NA
LA GARRIGOSA;Meliana;39.5255684;-0.3467411
OLIVERETES;Miramar;38.9536016;-0.1465895
SAGRADO CORAZÓN;Mislata;NA;NA
SANTA CRUZ;Mislata;NA;NA
AMADEO TORTAJADA;Mislata;NA;NA
AUSIÀS MARCH;Mislata;39.4780981;-0.4147168
EL CID;Mislata;NA;NA
GREGORI MAYANS I CÍSCAR;Mislata;NA;NA
JAUME I;Mislata;NA;NA
L'ALMASSIL;Mislata;39.4752159;-0.4236068
MAESTRO SERRANO - MARÍA MOLINER;Mislata;NA;NA
LA MORERIA;Mislata;NA;NA
MOLÍ DEL SOL;Mislata;NA;NA
MÚSIC MARTÍN I SOLER;Mislata;39.4789359;-0.4196539
PADRE MORENO;Mogente/Moixent;NA;NA
Instituto de Educación Secundaria;Mogente/Moixent;38.8705995;-0.756465
CUMBRES SCHOOL;Moncada;NA;NA
SAN JAIME APÓSTOL;Moncada;NA;NA
SAN JOSÉ;Moncada;39.5451692;-0.3911839
SAN PABLO-CEU;Moncada;NA;NA
DOCTOR VICENTE TRENCO;Moncada;NA;NA
JOSÉ MARÍA OLTRA;Moncada;NA;NA
VICENTE BLASCO IBÁÑEZ;Moncada;NA;NA
ENRIQUE TIERNO GALVÁN;Moncada;NA;NA
DOCTOR ESPLUGUES;Montaverner;NA;NA
JULIO VERNE;Monte Vedat;NA;NA
MADRE PETRA;Monte Vedat;39.4170159;-0.4914466
PLEYADE;Monte Vedat;39.4210853;-0.4975347
SANTA TERESA DE JESÚS;Monte Vedat;39.4304676;-0.4794421
VICENT BLASCO IBÁÑEZ;Montesa;NA;NA
SERRA DEL BENICADELL;Montitxelvo/Montichelvo;NA;NA
MONTROI;Montroi/Montroy;NA;NA
