"cod_municipio","nombre_municipio","nombre_municipio_norm","pob_total","pob_extranjera","pob_menor_16","pob_mayor_65","pct_extranjeros","indice_envejecimiento","pct_estudios_sup","num_colegios","ratio_colegios","distancia_centro_educativo","num_centros_salud","ratio_centros_salud","consultorio_local","num_hospitales","ratio_hospital","distancia_hospital","precio_m2_alquiler","renta_media_hogar","esfuerzo_alquiler","contratos_total","pct_contratos_agricultura","pct_contratos_industria","pct_contratos_construccion","pct_contratos_servicios","pct_hogares_100mbps","internet_100mbps_mayor90"
"48001","Abadiño","abadino",7708,477,1241,1646,6.18837571354437,132.634971796938,20.7022900763359,0,0,0,1,0.129735339906591,1,0,0,5.04,8,41817,18.3657364229859,2646,0,12.1693121693122,4.53514739229025,83.2955404383976,73.9228295819936,0
"48002","Abanto y Ciérvana-Abanto Zierbena","abanto y ciervana-abanto zierbena",9369,290,1197,1887,3.09531433450742,157.644110275689,21.5869474271371,0,0,0.47,0,0,0,0,0,4.04,8.7,37902,22.0357764761754,2882,0.173490631505899,12.0749479528105,8.32755031228314,79.4240111034004,80.1131978389503,0
"48911","Ajangiz","ajangiz",480,9,68,119,1.875,175,NA,0,0,1.58,0,0,0,0,0,13.82,NA,53245,NA,100,5,20,0,75,93.75,1
"48912","Alonsotegi","alonsotegi",2960,209,425,656,7.06081081081081,154.352941176471,19.7742312183729,1,0.337837837837838,0,0,0,1,0,0,3.78,NA,34934,NA,395,11.3924050632911,26.8354430379747,14.1772151898734,47.5949367088608,66.2754303599374,0
"48003","Amorebieta-Etxano","amorebieta-etxano",19587,2054,3052,4023,10.4865471996733,131.815203145478,30.135231316726,0,0,0,0,0,0,0,0,8.85,8,42273,18.1676247250018,7118,0.871031188536106,12.3068277606069,5.26833380162967,81.5538072492273,97.8594812389826,1
"48004","Amoroto","amoroto",398,13,52,84,3.26633165829146,161.538461538462,NA,0,0,3.76,0,0,1,0,0,17.93,NA,46992,NA,135,0,34.8148148148148,11.1111111111111,54.0740740740741,79.3103448275862,0
"48005","Arakaldo","arakaldo",158,8,28,21,5.06329113924051,75,NA,0,0,0,0,0,0,0,0,0,NA,45341,NA,70,0,28.5714285714286,14.2857142857143,57.1428571428571,100,1
"48006","Arantzazu","arantzazu",401,35,64,83,8.7281795511222,129.6875,NA,0,0,1,0,0,1,0,0,7.76,NA,45778,NA,91,0,16.4835164835165,5.49450549450549,78.021978021978,82.051282051282,0
"48093","Areatza","areatza",1249,149,210,234,11.9295436349079,111.428571428571,25.6434699714013,1,0.800640512409928,0,0,0,1,0,0,12.02,NA,37075,NA,236,20.7627118644068,22.8813559322034,4.23728813559322,52.1186440677966,89.7637795275591,0
"48009","Arrankudiaga","arrankudiaga",1008,25,181,193,2.48015873015873,106.629834254144,30.6413301662708,0,0,4.68,0,0,1,0,0,9.47,NA,49002,NA,243,6.17283950617284,21.8106995884774,16.8724279835391,55.1440329218107,82.7225130890052,0
"48914","Arratzu","arratzu",432,19,72,112,4.39814814814815,155.555555555556,NA,0,0,1.09,0,0,0,0,0,13.12,NA,52800,NA,149,34.2281879194631,24.1610738255034,3.35570469798658,38.255033557047,82.2368421052632,0
"48010","Arrieta","arrieta",576,22,65,114,3.81944444444444,175.384615384615,35.2713178294574,0,0,6.25,0,0,1,0,0,9,NA,50495,NA,167,26.9461077844311,26.9461077844311,2.9940119760479,43.1137724550898,63.7931034482759,0
"48011","Arrigorriaga","arrigorriaga",11954,624,1684,2309,5.22001003848084,137.114014251781,24.1614608361365,2,0.167308014053873,0,1,0.0836540070269366,0,0,0,5.95,8,39192,19.5958358848745,2614,0,14.9579188982402,11.4766641162969,73.5654169854629,85.1515776448752,0
"48023","Artea","artea",746,36,119,173,4.82573726541555,145.378151260504,36.7762128325509,0,0,0,0,0,1,0,0,10.39,NA,47782,NA,392,1.27551020408163,23.7244897959184,8.92857142857143,66.0714285714286,94.1580756013746,1
"48008","Artzentales","artzentales",720,15,88,178,2.08333333333333,202.272727272727,19.8728139904611,0,0,1.27,0,0,1,0,0,17.85,NA,36083,NA,444,3.37837837837838,4.5045045045045,5.63063063063063,86.4864864864865,74.6527777777778,0
"48091","Atxondo","atxondo",1372,77,180,340,5.61224489795918,188.888888888889,19.76647206005,0,0,3.02,0,0,0,0,0,5.13,NA,44817,NA,477,1.0482180293501,17.6100628930818,13.2075471698113,68.1341719077568,55.1789077212806,0
"48070","Aulesti","aulesti",655,26,93,179,3.96946564885496,192.47311827957,23.1578947368421,1,1.52671755725191,0,0,0,1,0,0,14.26,NA,41938,NA,129,3.87596899224806,31.0077519379845,11.6279069767442,53.4883720930233,84.6153846153846,0
"48012","Bakio","bakio",2812,146,450,516,5.19203413940256,114.666666666667,41.2379757423672,0,0,6.45,0,0,1,0,0,7.52,NA,41372,NA,1300,6.69230769230769,9.69230769230769,2.30769230769231,81.3076923076923,93.8403041825095,1
"48090","Balmaseda","balmaseda",7636,558,1107,1838,7.3074908328968,166.034327009937,19.1014623850445,5,0.654793085385018,0,1,0.130958617077004,0,0,0,19.78,7.5,34010,21.1702440458689,1098,0.910746812386157,8.01457194899818,6.64845173041894,84.4262295081967,80.0318979266348,0
"48013","Barakaldo","barakaldo",100535,8611,13773,23644,8.56517630675884,171.669207870471,20.7096472306867,0,0,0,7,0.0696274929129159,1,2,0.0198935694036903,0,10.4,35118,28.4298650264821,23550,0.148619957537155,9.05307855626327,4.08917197452229,86.7091295116773,98.9281663078455,1
"48014","Barrika","barrika",1547,83,209,350,5.36522301228184,167.464114832536,42.9315476190476,0,0,2.81,0,0,1,0,0,2.84,NA,52937,NA,637,0.784929356357928,10.5180533751962,4.70957613814757,83.9874411302983,89.0681003584229,0
"48015","Basauri","basauri",40324,3088,4613,11123,7.65797043944053,241.122913505311,16.7138731533933,0,0,0.68,3,0.0743973812121813,1,0,0,3.97,9.7,33997,27.3906521163632,9109,0.757492589746405,12.9432429465364,7.50905697661653,78.7902074871007,95.8235192738554,1
"48092","Bedia","bedia",1102,67,143,229,6.07985480943739,160.13986013986,23.0690010298661,0,0,2.11,0,0,1,0,0,2.13,NA,42118,NA,432,0,21.2962962962963,18.287037037037,60.4166666666667,80.3532008830022,0
"48016","Berango","berango",7347,261,1253,1303,3.55247039608003,103.990422984836,39.2689632864305,1,0.136109976861304,0,0,0,1,0,0,3.58,10.8,52584,19.7170241898676,1813,0.827357970215113,14.4511858797573,8.99062327633756,75.73083287369,99.3179234558545,1
"48017","Bermeo","bermeo",16755,1509,2295,4005,9.00626678603402,174.509803921569,20.5956864087641,4,0.238734706057893,0,1,0.0596836765144733,0,1,0.0596836765144733,0,7,36384,18.4696569920844,3159,5.76131687242798,11.744222855334,3.45045900601456,79.0440012662235,99.1432068543452,1
"48018","Berriatua","berriatua",1220,171,197,278,14.016393442623,141.116751269036,19.3236714975845,0,0,0.48,0,0,1,0,0,17.26,NA,44415,NA,318,14.1509433962264,18.2389937106918,17.2955974842767,50.314465408805,79.9554565701559,0
"48019","Berriz","berriz",4535,396,721,1006,8.73208379272326,139.528432732316,19.5556703694136,0,0,3.32,0,0,1,0,0,1.95,NA,42155,NA,854,0,14.2857142857143,16.9789227166276,68.7353629976581,98.5244040862656,1
"48020","Bilbao","bilbao",344127,34401,41610,84842,9.99660009240774,203.898101417928,32.6753507671904,100,0.290590392500443,0,21,0.0610239824250931,1,10,0.0290590392500443,0,11.8,40886,27.7063053367901,156935,0.119794819511263,9.12161085799853,3.00697741103004,87.7516169114602,99.3430128986458,1
"48021","Busturia","busturia",1667,91,229,458,5.45890821835633,200,28.2849239280775,0,0,0,0,0,1,0,0,4.9,NA,38393,NA,386,2.59067357512953,11.6580310880829,5.44041450777202,80.3108808290155,62.589928057554,0
"48901","Derio","derio",6819,263,1189,1250,3.85687050887227,105.130361648444,25.2236449745659,0,0,0,1,0.146649068778413,0,0,0,2.57,8.9,41572,20.552294813817,10966,0.319168338500821,10.3501732628123,7.31351449936166,82.0171438993252,99.7154037709,1
"48026","Dima","dima",1454,47,221,274,3.23246217331499,123.981900452489,30.7939053728949,0,0,2.84,0,0,1,0,0,10.48,NA,46515,NA,356,0,13.7640449438202,11.2359550561798,75,86.426116838488,0
"48027","Durango","durango",29609,2434,4417,5818,8.22047350467763,131.718360878424,29.2442840895721,11,0.371508662906549,0,1,0.0337735148096862,0,0,0,6.8,8.9,45065,18.9592810384999,7923,0.605831124574025,8.24182759055913,5.73015271992932,85.4221885649375,99.949460916442,1
"48028","Ea","ea",824,51,91,234,6.18932038834951,257.142857142857,37.8196500672948,0,0,0,0,0,1,0,0,12.12,NA,35931,NA,164,0,21.3414634146341,36.5853658536585,42.0731707317073,78.7878787878788,0
"48031","Elantxobe","elantxobe",349,16,37,113,4.58452722063037,305.405405405405,NA,0,0,3.3,0,0,1,0,0,7.02,NA,29865,NA,85,5.88235294117647,29.4117647058824,11.7647058823529,52.9411764705882,81.2154696132597,0
"48032","Elorrio","elorrio",7309,497,1087,1695,6.79983581885347,155.933762649494,24.1768729123588,3,0.410452866329183,0,0,0,1,0,0,4.25,7,43692,15.3803900027465,3459,1.67678519803411,10.8123735183579,3.35357039606823,84.1572708875398,97.2164948453608,1
"48902","Erandio","erandio",24446,1865,3408,5516,7.62905996891107,161.854460093897,17.8029413146643,0,0,0,1,0.0409064877689602,1,1,0.0409064877689602,0,9.9,34959,27.1861323264395,14422,0.208015531826376,11.7944806545555,5.96311191235612,82.034391901262,98.4032938341032,1
"48033","Ereño","ereno",267,17,34,80,6.36704119850187,235.294117647059,NA,0,0,2.71,0,0,1,0,0,11.74,NA,44893,NA,163,0,15.3374233128834,0,84.6625766871166,57.2727272727273,0
"48034","Ermua","ermua",15589,1173,2020,4050,7.52453653217012,200.49504950495,16.7153284671533,6,0.384886779139137,0,1,0.0641477965231894,0,0,0,4.32,7.9,37600,20.1702127659574,1636,0.611246943765281,12.8973105134474,7.51833740831296,78.9731051344743,96.8089887640449,1
"48079","Errigoiti","errigoiti",504,20,73,123,3.96825396825397,168.493150684932,NA,0,0,3.53,0,0,1,0,0,11.04,NA,41136,NA,116,4.31034482758621,21.551724137931,38.7931034482759,35.3448275862069,67.3267326732673,0
"48029","Etxebarri","etxebarri",11780,347,2340,1771,2.94567062818336,75.6837606837607,23.9465999165624,0,0,0.74,1,0.0848896434634975,0,0,0,2.2,9.6,42401,21.7353364307446,2325,0.21505376344086,16.6021505376344,12.3010752688172,70.8817204301075,97.2683566433566,1
"48030","Etxebarria","etxebarria",787,98,109,185,12.4523506988564,169.724770642202,19.941348973607,0,0,0.24,0,0,1,0,0,11.23,NA,44562,NA,223,29.5964125560538,20.627802690583,6.72645739910314,43.0493273542601,85.5737704918033,0
"48906","Forua","forua",910,54,112,240,5.93406593406593,214.285714285714,28.1444582814446,0,0,1.91,0,0,1,0,0,10.08,NA,43108,NA,468,1.06837606837607,4.27350427350427,2.13675213675214,92.5213675213675,89.2857142857143,0
"48035","Fruiz","fruiz",550,23,100,98,4.18181818181818,98,30.6345733041575,0,0,5.62,0,0,1,0,0,7.08,NA,45839,NA,102,0,14.7058823529412,24.5098039215686,60.7843137254902,78.6046511627907,0
"48036","Galdakao","galdakao",29285,1267,3810,6890,4.32644698651187,180.839895013123,28.0728964715006,0,0,0,1,0.0341471743213249,1,1,0.0341471743213249,0,8.8,41951,20.1377797907082,7767,0.862623921720098,11.0724861593923,6.66924166344792,81.3956482554397,98.4057263705873,1
"48037","Galdames","galdames",837,14,114,207,1.6726403823178,181.578947368421,22.9080932784636,0,0,5.19,0,0,1,0,0,9.7,NA,36718,NA,173,7.51445086705202,32.3699421965318,17.3410404624277,42.7745664739884,72.2371967654987,0
"48038","Gamiz-Fika","gamiz-fika",1391,37,170,299,2.65995686556434,175.882352941176,34.718826405868,0,0,4.51,0,0,1,0,0,3.58,NA,58037,NA,289,19.3771626297578,13.840830449827,1.73010380622837,65.0519031141868,55.4852320675106,0
"48039","Garai","garai",334,5,57,56,1.49700598802395,98.2456140350877,NA,2,5.98802395209581,0,0,0,0,0,0,5.78,NA,69098,NA,126,0,27.7777777777778,3.96825396825397,68.2539682539683,80,0
"48040","Gatika","gatika",1642,38,263,351,2.3142509135201,133.460076045627,30.5060584461867,0,0,2.63,0,0,1,0,0,6.4,NA,49964,NA,542,9.40959409594096,9.59409594095941,5.53505535055351,75.4612546125461,86.8824531516184,0
"48041","Gautegiz Arteaga","gautegiz arteaga",866,42,109,187,4.84988452655889,171.559633027523,41.7322834645669,0,0,1.57,0,0,0,0,0,8.32,NA,49289,NA,405,3.7037037037037,4.93827160493827,2.46913580246914,88.8888888888889,82.2102425876011,0
"48046","Gernika-Lumo","gernika-lumo",16855,1854,2597,4022,10.999703352121,154.871005005776,30.3038693154288,6,0.355977454761198,0,0,0,0,0,0,12.56,7,40556,16.5696814281487,3118,4.0410519563823,10.5837075048108,4.20141116100064,81.1738293778063,97.1863336204421,1
"48044","Getxo","getxo",76365,4967,9910,20568,6.5042886138938,207.547931382442,41.7129262490087,0,0,0.17,0,0,0,0,0,3.29,11.6,56823,19.5976981151998,17021,0.552258974208331,8.38963633159039,2.16791022854121,88.8901944656601,98.360924977007,1
"48047","Gizaburuaga","gizaburuaga",192,26,33,28,13.5416666666667,84.8484848484848,NA,0,0,3.38,0,0,1,0,0,17.99,NA,50054,NA,152,26.3157894736842,26.3157894736842,6.57894736842105,40.7894736842105,68.0555555555556,0
"48042","Gordexola","gordexola",1711,73,226,363,4.26651081239041,160.619469026549,27.9920212765957,0,0,2.97,0,0,1,0,0,13.55,NA,47563,NA,1216,2.87828947368421,7.73026315789474,3.28947368421053,86.1019736842105,89.1691394658754,0
"48043","Gorliz","gorliz",6031,291,906,1202,4.82507046924225,132.671081677704,41.6923076923077,0,0,0.59,1,0.165809981760902,0,1,0.165809981760902,0,8.9,45557,18.754527295476,929,1.07642626480086,11.194833153929,3.22927879440258,84.4994617868676,99.68,1
